"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset","metric_label"
"batch_weighted_pc_r2_categorical",0.00698232019049261,"lower",536,"weighted R-squared","Batch is explicitly categorical.","clinical_fiams","winn_auto_batch_qc","WiNN auto-batch (QC)","Clinical FIA-MS","Batch weighted-PC R²"
"heldout_qc_cv_mean",11.0300999455018,"lower",1594,"percent","","clinical_fiams","winn_auto_batch_qc","WiNN auto-batch (QC)","Clinical FIA-MS","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.109002509410289,"lower",12752,"proportion","","clinical_fiams","winn_auto_batch_qc","WiNN auto-batch (QC)","Clinical FIA-MS","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0752175087682554,"lower",12752,"proportion","","clinical_fiams","winn_auto_batch_qc","WiNN auto-batch (QC)","Clinical FIA-MS","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00205430716992057,"lower",536,"weighted R-squared","Batch is explicitly categorical.","clinical_fiams","winn_fixed_no_qc","WiNN fixed default (no QC)","Clinical FIA-MS","Batch weighted-PC R²"
"heldout_qc_cv_mean",12.4044092100879,"lower",1594,"percent","","clinical_fiams","winn_fixed_no_qc","WiNN fixed default (no QC)","Clinical FIA-MS","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0997490589711418,"lower",12752,"proportion","","clinical_fiams","winn_fixed_no_qc","WiNN fixed default (no QC)","Clinical FIA-MS","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0727686471322973,"lower",12752,"proportion","","clinical_fiams","winn_fixed_no_qc","WiNN fixed default (no QC)","Clinical FIA-MS","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.561111591272931,"lower",710,"weighted R-squared","Batch is explicitly categorical.","batchcorr_set1","raw","Raw","BatchCorr Set 1","Batch weighted-PC R²"
"heldout_qc_cv_mean",66.5698818959707,"lower",199,"percent","","batchcorr_set1","raw","Raw","BatchCorr Set 1","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.175376884422111,"lower",1990,"proportion","","batchcorr_set1","raw","Raw","BatchCorr Set 1","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.122438628105699,"lower",1990,"proportion","","batchcorr_set1","raw","Raw","BatchCorr Set 1","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000447151416436719,"lower",710,"weighted R-squared","Batch is explicitly categorical.","batchcorr_set1","combat","ComBat","BatchCorr Set 1","Batch weighted-PC R²"
"heldout_qc_cv_mean",30.3003564485775,"lower",199,"percent","","batchcorr_set1","combat","ComBat","BatchCorr Set 1","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.175376884422111,"lower",1990,"proportion","","batchcorr_set1","combat","ComBat","BatchCorr Set 1","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.122438727653694,"lower",1990,"proportion","","batchcorr_set1","combat","ComBat","BatchCorr Set 1","Residual GAM deviance"
