"array_index","scenario_id","pre_v2_job_id","pre_v2_attempt_status","pre_v2_scientifically_eligible","v2_retry_required","pre_v2_expected_raw_intensity_round10_sha256","pre_v2_expected_clean_intensity_round10_sha256","pre_v2_observed_raw_intensity_round10_sha256","pre_v2_observed_clean_intensity_round10_sha256","pre_v2_reference_raw_intensity_object_sha256","pre_v2_observed_raw_intensity_object_sha256","pre_v2_reference_clean_ground_truth_object_sha256","pre_v2_observed_clean_ground_truth_object_sha256","raw_intensity_max_abs_difference","raw_intensity_median_abs_difference","raw_intensity_nonzero_difference_cells","raw_intensity_cells_above_1e_minus_12","raw_log_with_biology_max_abs_difference","raw_log_round10_identical"
44,"CONF03_run_order_0p90","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"d7fb9cdf04d98ddd0d6efa6ad2c634702a615c536baa720bc1e65608f53257c5","a498fada51d6577a105cff50a085c499643533be8621594d21f7d3c69632cf74","","","d4b62a1a04c87e885f10a2e50a96885174e01cabaa58bc23ff9f9e364217640a","","57a0219752e52553012b382697e877ffbd1d96532e225b68b4c314639107cdc8","",,,,,,
45,"CONF03_joint_0p90","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"09562029ab29485a3171e0bf3ddc455c1aca8eaae21fbf64bb4db4e2d3ba846e","e1ecf56b7e22e75356edc1f8e44ab09326fff923bf627689973bc3bac6935358","","","a133797b69434cfe1c8c5dba0acbbb9719cf9b552f8321dbf47a26b09bffdd53","","16c85bfd1095fd4fac694bdf062b01bf58a36f138925be5e163ec5a72f16e63e","",,,,,,
46,"CONF03_batch_1p00","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"006d79ca6a78c340533717fbb394b12ebca660805b99a2c6e308e9ecfef9f621","747636e2234a0a4a150bddf444d9abf50a6b35568620676a5d4edb57b4e424b7","","","b2565f01039f9abc70e443c1c584fd88fdad4d38451b894566e03abb5e85459f","","c4141d589bcd1e7513d45b612bbd8e2896372149842ac71a5e5a71887209768e","",,,,,,
47,"CONF03_run_order_1p00","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"dc6e981f6677a792bde8ec54a5d3d294d5c5782c0ac5b316db10962616dbac16","529c7fc3f406b136a19368e38068bf310cc58fdda962caca73257522384d54bd","","","44c59a023bb41fd233b3a12ef18ae9b83e0ff309eade0ec197cc6bd8a8c939ff","","e4c7c2935e83a1b88256b8fd7a6c45ec028d5351f860f805ff9143b3e61bd28c","",,,,,,
48,"CONF03_joint_1p00","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"eb43575733668bc1ab30301b20201750dd9b8dc0c48df24cb9d802c890ee4394","5ab79b12cacf8d795771cd353858de2278a084ee961881efa6689a068a77909c","","","9a190432fb7d9c0a7392a6f6ba1901285e49e78972a9e2dd39488c31fd93ace8","","b8d9def8be82738532b3f6df60c76aedc42ab44046bf8058c9e3de935ca2f639","",,,,,,
49,"CONF04_none_0p00","8385353","canonical_directory_observed_status_requires_archive",FALSE,TRUE,"4b4dbf3fe5e3a543cd854270d3a2a5c3813aecc941c9d72cc0559f85bdc3e715","eb79f6847d2f2e8f0a7ffcc8caa8b4637ed78f773aed22467767d24c10d2b856","","","faad0ff33455cc1665cc02687e6d6a6582b0c3aee3bf88980fc32be8bd675f5e","","1c903086bf8a4d760753b100a0da3b403ac0ee733591a56a27b0632633d9b1d4","",,,,,,
50,"CONF04_batch_0p25","","not_started_pre_v2",FALSE,TRUE,"4ab5ab4a5aa05e0b88fbdd4f2be074f958e027ddeae38660e3b1ac26f7d96f8e","29b38e0e2bd17a299a9ea15e6184a04b709e35acd1289dc54213ee06216948f8","","","d392be81846d91bc2ec88928d4e568c017cae02652ecbe669846e9f0e746415d","","776b50393de962935ea2dc4c9c6c1d350fc0b5c8cb3b76734a06ae793eddf8f7","",,,,,,
51,"CONF04_run_order_0p25","","not_started_pre_v2",FALSE,TRUE,"27dd6c304a8a5c2b5f74872060881b67075fe652ef1ad6a34e7825d3bc64753a","39770381a5af10cc536f07557528be4c5d3bb0d99adde1b254e48d4dab2f9b83","","","54412d6c99c99f0cbe2def227532e61122321502d8ead3b8938df763d1060537","","e49fcd4f3cc0a21a47d9760e6b4f640a99eab22e3d1b12b5ec8103ad929b1def","",,,,,,
52,"CONF04_joint_0p25","","not_started_pre_v2",FALSE,TRUE,"359c0cccae190f60c9e4b08ca0546f69308490400a70e1d19d5e826643e7f041","64170ee8fd206f930a79e420ce5d40bf9e73a07722a46815f8bda0584b424ceb","","","4bf659d8103493062df8357c8d90ebc2d47e6ec06735cd4b03f7ebd3a69feab5","","63fe2c9dc02a5fca8aac365a0fc4d9ed67f53030e9eac987adc0f9239fde44bd","",,,,,,
53,"CONF04_batch_0p50","","not_started_pre_v2",FALSE,TRUE,"6614f6fc90749e4b001f3a664722723b354c5239f71d3c8806d77c391522d966","42b3e7503ffe236e76c51616d6ea87e357ded066f58f67c65405e73d0d63728c","","","f930d9bb8ee0532e12ff068c0fb30dec09b712c929c4f886b10a8a6e9729d936","","025169fceba2acc3620b7a4a3e56d101fc6b2883a0a0ffc3ac1ca77e05c20ab3","",,,,,,
