"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","seed_id"
"drift_features_corrected",649,"descriptive",1000,"features","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"batch_features_corrected",705,"descriptive",1000,"features","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"truth_metabolite_profile_icc_mean",0.918354596640287,"higher",1000,"ICC(A,1)","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"truth_sample_profile_pearson_mean",0.919321372489288,"higher",450,"correlation","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"truth_log1p_rmse",0.0742379736378133,"lower",450000,"log1p intensity","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"heldout_qc_cv_mean",9.07845073787309,"lower",1000,"percent","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"heldout_qc_cv_sd",6.4793982504466,"lower",1000,"percent","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"heldout_qc_cv_median",7.89900176445446,"lower",1000,"percent","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"residual_run_order_gam_mean_deviance",0.021266909450256,"lower",5000,"proportion","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"residual_run_order_gam_sd_deviance",0.0357473049258887,"lower",5000,"proportion","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"residual_ljung_box_proportion_significant",0.0044,"lower",5000,"proportion","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"batch_weighted_pc_r2_categorical",0.00120378704130995,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"retained_features",1000,"higher",1000,"features","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"retained_samples",500,"higher",500,"samples","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"runtime_sec",7.471,"lower",1,"seconds","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"drift_profiles_corrected",1459,"descriptive",5000,"profiles","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"drift_features_corrected",649,"descriptive",1000,"features","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"batch_features_corrected",705,"descriptive",1000,"features","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"truth_metabolite_profile_icc_mean",0.91822667604616,"higher",1000,"ICC(A,1)","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"truth_sample_profile_pearson_mean",0.919320721321823,"higher",450,"correlation","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"truth_log1p_rmse",0.0742868926228712,"lower",450000,"log1p intensity","","simulation","C4_FULL_FIXED","+ PQN","SIM02"
"heldout_qc_cv_mean",9.07845073787309,"lower",1000,"percent","","simulation","G_SS","selective/selective","SIM02"
"heldout_qc_cv_sd",6.4793982504466,"lower",1000,"percent","","simulation","G_SS","selective/selective","SIM02"
"heldout_qc_cv_median",7.89900176445446,"lower",1000,"percent","","simulation","G_SS","selective/selective","SIM02"
"residual_run_order_gam_mean_deviance",0.021266909450256,"lower",5000,"proportion","","simulation","G_SS","selective/selective","SIM02"
"residual_run_order_gam_sd_deviance",0.0357473049258887,"lower",5000,"proportion","","simulation","G_SS","selective/selective","SIM02"
"residual_ljung_box_proportion_significant",0.0044,"lower",5000,"proportion","","simulation","G_SS","selective/selective","SIM02"
"batch_weighted_pc_r2_categorical",0.00120378704130995,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","G_SS","selective/selective","SIM02"
"retained_features",1000,"higher",1000,"features","","simulation","G_SS","selective/selective","SIM02"
"retained_samples",500,"higher",500,"samples","","simulation","G_SS","selective/selective","SIM02"
"runtime_sec",7.471,"lower",1,"seconds","","simulation","G_SS","selective/selective","SIM02"
"drift_profiles_corrected",1459,"descriptive",5000,"profiles","","simulation","G_SS","selective/selective","SIM02"
