"dataset_key","dataset","method_id","method","metric","value","direction","denominator","units"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","runtime_sec",11.034,"lower",1,"seconds"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","drift_profiles_corrected",2297,"descriptive",12752,"profiles"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","drift_features_corrected",1300,"descriptive",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","batch_features_corrected",1594,"descriptive",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","biological_weighted_pc_r2",0.799430938875156,"higher",536,"weighted R-squared"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","feature_repeatability_ratio_median",0.659676587204692,"higher",1594,"repeatability ratio"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","sample_replicate_pearson_median",0.990747147757201,"higher",267,"correlation"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","genuine_replicate_icc_median",0.989869506591472,"higher",267,"ICC(A,1)"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","heldout_qc_cv_mean",13.5134759406473,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","heldout_qc_cv_sd",5.7073634279204,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","heldout_qc_cv_median",12.0965740884015,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","residual_run_order_gam_mean_deviance",0.00519147469752825,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","residual_run_order_gam_sd_deviance",0.0136419946137286,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","residual_ljung_box_proportion_significant",0.13409661229611,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","batch_weighted_pc_r2_categorical",0.000995782155015914,"lower",536,"weighted R-squared"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","retained_features",1594,"higher",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","retained_samples",660,"higher",660,"samples"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","runtime_sec",33.719,"lower",1,"seconds"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","drift_profiles_corrected",12752,"descriptive",12752,"profiles"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","drift_features_corrected",1594,"descriptive",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","batch_features_corrected",1594,"descriptive",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","biological_weighted_pc_r2",0.779214232228572,"higher",536,"weighted R-squared"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","feature_repeatability_ratio_median",0.637410705558402,"higher",1594,"repeatability ratio"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","sample_replicate_pearson_median",0.990914257339101,"higher",267,"correlation"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","genuine_replicate_icc_median",0.98992385975622,"higher",267,"ICC(A,1)"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","heldout_qc_cv_mean",26.6652760811313,"lower",199,"percent"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","heldout_qc_cv_sd",16.1017669031863,"lower",199,"percent"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","heldout_qc_cv_median",21.6389016588586,"lower",199,"percent"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","residual_run_order_gam_mean_deviance",0.043772965202549,"lower",1990,"proportion"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","residual_run_order_gam_sd_deviance",0.0555122121880683,"lower",1990,"proportion"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","residual_ljung_box_proportion_significant",0.0085427135678392,"lower",1990,"proportion"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","batch_weighted_pc_r2_categorical",0.000567147968917397,"lower",710,"weighted R-squared"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","retained_features",199,"higher",199,"features"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","retained_samples",761,"higher",761,"samples"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","runtime_sec",1.787,"lower",1,"seconds"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","drift_profiles_corrected",373,"descriptive",1990,"profiles"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","drift_features_corrected",150,"descriptive",199,"features"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","batch_features_corrected",195,"descriptive",199,"features"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","biological_weighted_pc_r2",0.829484175037435,"higher",710,"weighted R-squared"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","feature_repeatability_ratio_median",0.695315540683156,"higher",199,"repeatability ratio"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","sample_replicate_pearson_median",0.957541057965195,"higher",352,"correlation"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","genuine_replicate_icc_median",0.953917516280415,"higher",352,"ICC(A,1)"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","biological_associated_features",197,"context",199,"features"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","heldout_qc_cv_mean",28.4664171686162,"lower",199,"percent"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","heldout_qc_cv_sd",15.5588669924787,"lower",199,"percent"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","heldout_qc_cv_median",24.4433577471299,"lower",199,"percent"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","residual_run_order_gam_mean_deviance",0.000826500461473387,"lower",1990,"proportion"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","residual_run_order_gam_sd_deviance",0.00160521216270995,"lower",1990,"proportion"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","residual_ljung_box_proportion_significant",0.0226130653266332,"lower",1990,"proportion"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","batch_weighted_pc_r2_categorical",0.000779443758318777,"lower",710,"weighted R-squared"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","retained_features",199,"higher",199,"features"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","retained_samples",761,"higher",761,"samples"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","runtime_sec",5.123,"lower",1,"seconds"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","drift_profiles_corrected",1990,"descriptive",1990,"profiles"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","drift_features_corrected",199,"descriptive",199,"features"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","batch_features_corrected",196,"descriptive",199,"features"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","biological_weighted_pc_r2",0.812807386397425,"higher",710,"weighted R-squared"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","feature_repeatability_ratio_median",0.682738476706889,"higher",199,"repeatability ratio"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","sample_replicate_pearson_median",0.957378256759523,"higher",352,"correlation"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","genuine_replicate_icc_median",0.953921039363089,"higher",352,"ICC(A,1)"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","biological_associated_features",196,"context",199,"features"
"batchcorr_set1","BatchCorr Set 1","G_SA","selective/all","heldout_qc_cv_mean",26.7656305295088,"lower",199,"percent"
"batchcorr_set1","BatchCorr Set 1","G_SA","selective/all","heldout_qc_cv_sd",16.1415114714907,"lower",199,"percent"
"batchcorr_set1","BatchCorr Set 1","G_SA","selective/all","heldout_qc_cv_median",21.6837490986621,"lower",199,"percent"
"batchcorr_set1","BatchCorr Set 1","G_SA","selective/all","residual_run_order_gam_mean_deviance",0.043732849175648,"lower",1990,"proportion"
"batchcorr_set1","BatchCorr Set 1","G_SA","selective/all","residual_run_order_gam_sd_deviance",0.055466943974921,"lower",1990,"proportion"
