"scenario_id","seed_id","method","metric","value","metric_direction","units","status","confounding_type","level"
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","true_positive_rate",1,"higher","proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","empirical_fdr",0.0384615384615385,"lower","proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","null_feature_false_positive_rate",0.00444444444444444,"lower","proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","clean_log1p_rmse_study",0.0762747539737501,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","clean_sample_profile_pearson_mean",0.91877652595724,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","clean_sample_profile_pearson_median",0.920068033964125,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","clean_feature_profile_pearson_mean",0.944707352830526,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","clean_feature_profile_pearson_median",0.954541210172086,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","clean_feature_icc_a1_mean",0.918624047290177,"higher","value","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","clean_feature_icc_a1_median",0.942982322480151,"higher","value","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","heldout_qc_cv_mean",8.59224472119717,"lower","percent","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","heldout_qc_cv_median",7.59337811942399,"lower","percent","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","heldout_qc_cv_sd",6.27583539667026,"lower","percent","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","batch_weighted_pc_r2_categorical",0.000728822352147331,"lower","weighted_R2","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","phenotype_weighted_pc_r2_categorical",0.452923809054788,"descriptive","weighted_R2","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","residual_ljung_box_profiles_tested",5000,"descriptive","count","calculated_full_feature_batch_profiles","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","residual_ljung_box_profiles_significant",37,"lower","count","calculated_full_feature_batch_profiles","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","residual_ljung_box_proportion_significant",0.0074,"lower","proportion","calculated_full_feature_batch_profiles","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","residual_ljung_box_median_statistic",10.4246265875319,"lower","value","calculated_full_feature_batch_profiles","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","residual_run_order_gam_mean_deviance",0.0219060855141665,"lower","value","calculated_full_feature_batch_profiles","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","retained_features",1000,"higher","count","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","retained_samples",500,"higher","count","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","runtime_sec",6.538,"lower","seconds","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","coefficient_pearson_vs_injected_all",0.948412211461799,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","coefficient_spearman_vs_injected_all",0.520336689798318,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","coefficient_pearson_vs_injected_responsive",0.995112837987124,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","coefficient_pearson_vs_clean_all",0.991284368439244,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","effect_rmse_vs_injected_all",0.0581411337445601,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","effect_rmse_vs_injected_responsive",0.175072453910309,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","effect_rmse_vs_clean_all",0.0077349937318968,"lower","log1p_effect_or_ratio","calculated","none",0
