"analysis_family","task_id","dataset_key","seed_id","split_id","method_id","method","output_dir","floor_applied","negative_values_floored","features_with_flooring","samples_with_flooring","minimum_before_floor","rule"
"simulation_seed","SIM_054","simulation","SIM06",,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/simulation_seeds/SIM06/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_055","simulation","SIM07",,"raw","Raw","results/simulation_seeds/SIM07/raw",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_056","simulation","SIM07",,"combat","ComBat","results/simulation_seeds/SIM07/combat",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_057","simulation","SIM07",,"qc_rlsc","QC-RLSC","results/simulation_seeds/SIM07/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_058","simulation","SIM07",,"qc_rfsc","QC-RFSC","results/simulation_seeds/SIM07/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_059","simulation","SIM07",,"tiger","TIGER","results/simulation_seeds/SIM07/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_060","simulation","SIM07",,"serrf","SERRF","results/simulation_seeds/SIM07/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_061","simulation","SIM07",,"winn_auto_qc","WiNN auto (QC)","results/simulation_seeds/SIM07/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_062","simulation","SIM07",,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/simulation_seeds/SIM07/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_063","simulation","SIM07",,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/simulation_seeds/SIM07/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_064","simulation","SIM08",,"raw","Raw","results/simulation_seeds/SIM08/raw",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_065","simulation","SIM08",,"combat","ComBat","results/simulation_seeds/SIM08/combat",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_066","simulation","SIM08",,"qc_rlsc","QC-RLSC","results/simulation_seeds/SIM08/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_067","simulation","SIM08",,"qc_rfsc","QC-RFSC","results/simulation_seeds/SIM08/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_068","simulation","SIM08",,"tiger","TIGER","results/simulation_seeds/SIM08/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_069","simulation","SIM08",,"serrf","SERRF","results/simulation_seeds/SIM08/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_070","simulation","SIM08",,"winn_auto_qc","WiNN auto (QC)","results/simulation_seeds/SIM08/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_071","simulation","SIM08",,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/simulation_seeds/SIM08/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_072","simulation","SIM08",,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/simulation_seeds/SIM08/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_073","simulation","SIM09",,"raw","Raw","results/simulation_seeds/SIM09/raw",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_074","simulation","SIM09",,"combat","ComBat","results/simulation_seeds/SIM09/combat",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_075","simulation","SIM09",,"qc_rlsc","QC-RLSC","results/simulation_seeds/SIM09/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_076","simulation","SIM09",,"qc_rfsc","QC-RFSC","results/simulation_seeds/SIM09/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_077","simulation","SIM09",,"tiger","TIGER","results/simulation_seeds/SIM09/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_078","simulation","SIM09",,"serrf","SERRF","results/simulation_seeds/SIM09/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_079","simulation","SIM09",,"winn_auto_qc","WiNN auto (QC)","results/simulation_seeds/SIM09/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_080","simulation","SIM09",,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/simulation_seeds/SIM09/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_081","simulation","SIM09",,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/simulation_seeds/SIM09/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_082","simulation","SIM10",,"raw","Raw","results/simulation_seeds/SIM10/raw",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_083","simulation","SIM10",,"combat","ComBat","results/simulation_seeds/SIM10/combat",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_084","simulation","SIM10",,"qc_rlsc","QC-RLSC","results/simulation_seeds/SIM10/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_085","simulation","SIM10",,"qc_rfsc","QC-RFSC","results/simulation_seeds/SIM10/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_086","simulation","SIM10",,"tiger","TIGER","results/simulation_seeds/SIM10/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_087","simulation","SIM10",,"serrf","SERRF","results/simulation_seeds/SIM10/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_088","simulation","SIM10",,"winn_auto_qc","WiNN auto (QC)","results/simulation_seeds/SIM10/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_089","simulation","SIM10",,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/simulation_seeds/SIM10/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_090","simulation","SIM10",,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/simulation_seeds/SIM10/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_001","simulation",,"SPLIT01","raw","Raw","results/reference_splits/simulation/SPLIT01/raw",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_002","simulation",,"SPLIT01","combat","ComBat","results/reference_splits/simulation/SPLIT01/combat",TRUE,1,1,1,-0.0280105824579054,"Negative corrected intensities were floored at zero before evaluation."
"reference_split","REF_003","simulation",,"SPLIT01","qc_rlsc","QC-RLSC","results/reference_splits/simulation/SPLIT01/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_004","simulation",,"SPLIT01","qc_rfsc","QC-RFSC","results/reference_splits/simulation/SPLIT01/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_005","simulation",,"SPLIT01","serrf","SERRF","results/reference_splits/simulation/SPLIT01/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_006","simulation",,"SPLIT01","winn_auto_qc","WiNN auto (QC)","results/reference_splits/simulation/SPLIT01/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_007","simulation",,"SPLIT01","winn_auto_batch_qc","WiNN auto-batch (QC)","results/reference_splits/simulation/SPLIT01/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_008","simulation",,"SPLIT01","winn_fixed_no_qc","WiNN fixed default (no QC)","results/reference_splits/simulation/SPLIT01/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_009","simulation",,"SPLIT02","raw","Raw","results/reference_splits/simulation/SPLIT02/raw",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_010","simulation",,"SPLIT02","combat","ComBat","results/reference_splits/simulation/SPLIT02/combat",TRUE,1,1,1,-0.0280105824579054,"Negative corrected intensities were floored at zero before evaluation."
"reference_split","REF_011","simulation",,"SPLIT02","qc_rlsc","QC-RLSC","results/reference_splits/simulation/SPLIT02/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_012","simulation",,"SPLIT02","qc_rfsc","QC-RFSC","results/reference_splits/simulation/SPLIT02/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_013","simulation",,"SPLIT02","serrf","SERRF","results/reference_splits/simulation/SPLIT02/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_014","simulation",,"SPLIT02","winn_auto_qc","WiNN auto (QC)","results/reference_splits/simulation/SPLIT02/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_015","simulation",,"SPLIT02","winn_auto_batch_qc","WiNN auto-batch (QC)","results/reference_splits/simulation/SPLIT02/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"reference_split","REF_016","simulation",,"SPLIT02","winn_fixed_no_qc","WiNN fixed default (no QC)","results/reference_splits/simulation/SPLIT02/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
