"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset"
"heldout_qc_cv_median",11.2128702839846,"lower",2488,"percent","","mtbls79","tiger","TIGER","MTBLS79"
"heldout_qc_cv_sd",8.75289165249825,"lower",2488,"percent","","mtbls79","tiger","TIGER","MTBLS79"
"metabolite_icc_a1_median",0.579479054575873,"higher",2488,"ICC(A,1)","","mtbls79","tiger","TIGER","MTBLS79"
"residual_ljung_box_proportion_significant",0.00216036977491961,"lower",19904,"proportion","","mtbls79","tiger","TIGER","MTBLS79"
"residual_run_order_gam_mean_deviance",0.141563001447443,"lower",19904,"proportion","","mtbls79","tiger","TIGER","MTBLS79"
"residual_run_order_gam_sd_deviance",0.167290680861559,"lower",19904,"proportion","","mtbls79","tiger","TIGER","MTBLS79"
"retained_features",2488,"higher",2488,"features","","mtbls79","tiger","TIGER","MTBLS79"
"retained_samples",172,"higher",172,"samples","","mtbls79","tiger","TIGER","MTBLS79"
"runtime_sec",2969.131,"lower",1,"seconds","measured method execution in frozen release","mtbls79","tiger","TIGER","MTBLS79"
"sample_replicate_pearson_median",0.961437677896945,"higher",20,"correlation","","mtbls79","tiger","TIGER","MTBLS79"
"batch_features_corrected",,"descriptive",2488,"features","","mtbls79","serrf","SERRF","MTBLS79"
"batch_weighted_pc_r2_categorical",0.00841627689119447,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","serrf","SERRF","MTBLS79"
"biological_associated_features",1000,"context",2488,"features","","mtbls79","serrf","SERRF","MTBLS79"
"biological_weighted_pc_r2",0.46610294740746,"higher",134,"weighted R-squared","","mtbls79","serrf","SERRF","MTBLS79"
"drift_features_corrected",,"descriptive",2488,"features","","mtbls79","serrf","SERRF","MTBLS79"
"drift_profiles_corrected",,"descriptive",19904,"profiles","","mtbls79","serrf","SERRF","MTBLS79"
"heldout_qc_cv_mean",17.1093472644473,"lower",2488,"percent","","mtbls79","serrf","SERRF","MTBLS79"
"heldout_qc_cv_median",13.6862288281819,"lower",2488,"percent","","mtbls79","serrf","SERRF","MTBLS79"
