"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","split_id","dataset"
"heldout_qc_cv_mean",10.6558259148153,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"heldout_qc_cv_sd",8.11738901673046,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"heldout_qc_cv_median",8.17904002001063,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"residual_run_order_gam_mean_deviance",0.0497808829346165,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"residual_run_order_gam_sd_deviance",0.0859484022207654,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"residual_ljung_box_proportion_significant",0.06,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"batch_weighted_pc_r2_categorical",0.000104903261587332,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"runtime_sec",5.231,"lower",1,"seconds","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"truth_metabolite_profile_icc_mean",0.908244701518473,"higher",1000,"ICC(A,1)","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"truth_sample_profile_pearson_mean",0.909626711439774,"higher",450,"correlation","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"truth_log1p_rmse",0.0876079555006053,"lower",450000,"log1p intensity","","simulation","qc_rlsc","QC-RLSC","SPLIT02","Simulation"
"heldout_qc_cv_mean",10.6119508394078,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"heldout_qc_cv_sd",11.9131680057976,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"heldout_qc_cv_median",8.47453013315087,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"residual_run_order_gam_mean_deviance",0.12032530654867,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
"residual_run_order_gam_sd_deviance",0.139053401011916,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT02","Simulation"
